Order_ID,Date,Product,Region,Quantity,Unit_Price,Revenue,Cost,Profit
ORD-1001,2026-01-01 00:00:00.000000000,Laptop Stand,Giza,1,75.0,75,58.05,16.95
ORD-1002,2026-01-02 12:18:09.075630252,USB Hub,Mansoura,5,75.0,375,286.93,88.07
ORD-1003,2026-01-04 00:36:18.151260504,Headset,Mansoura,1,25.0,25,15.32,9.68
ORD-1004,2026-01-05 12:54:27.226890756,Keyboard,Giza,5,75.0,375,259.99,115.01
ORD-1005,2026-01-07 01:12:36.302521008,Keyboard,Tanta,5,20.0,100,71.36,28.64
ORD-1006,2026-01-08 13:30:45.378151260,Webcam,Giza,1,40.0,40,31.37,8.63
ORD-1007,2026-01-10 01:48:54.453781512,Laptop Stand,Cairo,6,35.0,210,149.7,60.3
ORD-1008,2026-01-11 14:07:03.529411764,USB Hub,,3,30.0,90,59.53,30.47
ORD-1009,2026-01-13 02:25:12.605042016,Wireless Mouse,Giza,6,15.0,90,58.59,31.41
ORD-1010,2026-01-14 14:43:21.680672268,Laptop Stand,Mansoura,1,60.0,60,39.9,20.1
ORD-1011,2026-01-16 03:01:30.756302521,Headset,Giza,2,30.0,60,43.56,16.44
ORD-1012,2026-01-17 15:19:39.831932773,Webcam,Giza,4,50.0,200,156.84,43.16
ORD-1013,2026-01-19 03:37:48.907563025,USB Hub,Cairo,2,35.0,70,47.08,22.92
ORD-1014,2026-01-20 15:55:57.983193277,USB Hub,Giza,3,30.0,90,55.52,34.48
ORD-1015,2026-01-22 04:14:07.058823529,USB Hub,Mansoura,5,75.0,375,230.21,144.79
ORD-1016,2026-01-23 16:32:16.134453781,USB Hub,Alexandria,2,15.0,30,22.54,7.46
ORD-1017,2026-01-25 04:50:25.210084033,Headset,Mansoura,5,60.0,300,231.14,68.86
ORD-1018,2026-01-26 17:08:34.285714285,Laptop Stand,Cairo,1,60.0,60,34.71,25.29
ORD-1019,2026-01-28 05:26:43.361344537,Webcam,Alexandria,2,,60,34.08,25.92
ORD-1020,2026-01-29 17:44:52.436974790,Keyboard,Giza,5,25.0,125,88.81,36.19
ORD-1021,2026-01-31 06:03:01.512605042,Headset,Tanta,6,15.0,90,53.05,36.95
ORD-1022,2026-02-01 18:21:10.588235294,Keyboard,Alexandria,2,100.0,200,154.53,45.47
ORD-1023,2026-02-03 06:39:19.663865546,Wireless Mouse,Alexandria,3,100.0,300,190.14,109.86
ORD-1024,2026-02-04 18:57:28.739495798,Webcam,Giza,7,25.0,175,103.05,71.95
ORD-1025,2026-02-06 07:15:37.815126050,USB Hub,Tanta,7,15.0,105,83.86,21.14
ORD-1026,2026-02-07 19:33:46.890756302,Headset,Tanta,5,20.0,100,59.47,40.53
ORD-1027,2026-02-09 07:51:55.966386554,Keyboard,Cairo,4,15.0,60,37.61,22.39
ORD-1028,2026-02-10 20:10:05.042016806,USB Hub,Alexandria,3,75.0,225,133.08,91.92
ORD-1029,2026-02-12 08:28:14.117647058,Headset,Tanta,5,75.0,375,217.94,157.06
ORD-1030,2026-02-13 20:46:23.193277310,Keyboard,Cairo,5,20.0,100,55.57,44.43
ORD-1031,2026-02-15 09:04:32.268907563,Keyboard,Tanta,3,60.0,180,101.69,78.31
ORD-1032,2026-02-16 21:22:41.344537815,Wireless Mouse,Alexandria,1,20.0,20,11.94,8.06
ORD-1033,2026-02-18 09:40:50.420168067,Laptop Stand,Tanta,2,30.0,60,33.86,26.14
ORD-1034,2026-02-19 21:58:59.495798319,Headset,Alexandria,7,40.0,280,198.69,81.31
ORD-1035,2026-02-21 10:17:08.571428571,Webcam,Giza,3,60.0,180,132.08,47.92
ORD-1036,2026-02-22 22:35:17.647058823,Laptop Stand,Mansoura,4,75.0,300,196.88,103.12
ORD-1037,2026-02-24 10:53:26.722689075,Webcam,Cairo,4,15.0,60,38.15,21.85
ORD-1038,2026-02-25 23:11:35.798319327,USB Hub,Giza,6,20.0,120,82.35,37.65
ORD-1039,2026-02-27 11:29:44.873949580,Wireless Mouse,Giza,1,25.0,25,19.66,5.34
ORD-1040,2026-02-28 23:47:53.949579832,Headset,Mansoura,1,30.0,30,23.39,6.61
ORD-1041,2026-03-02 12:06:03.025210084,Laptop Stand,Tanta,2,100.0,200,112.35,87.65
ORD-1042,2026-03-04 00:24:12.100840336,USB Hub,Mansoura,4,60.0,240,143.76,96.24
ORD-1043,2026-03-05 12:42:21.176470588,USB Hub,Giza,5,30.0,150,92.09,57.91
ORD-1044,2026-03-07 01:00:30.252100840,Keyboard,,4,100.0,400,246.93,153.07
ORD-1045,2026-03-08 13:18:39.327731092,Laptop Stand,Giza,4,35.0,140,98.59,41.41
ORD-1046,2026-03-10 01:36:48.403361344,Webcam,Tanta,7,40.0,280,185.47,94.53
ORD-1047,2026-03-11 13:54:57.478991596,Keyboard,Alexandria,2,35.0,70,39.43,30.57
ORD-1048,2026-03-13 02:13:06.554621848,Webcam,Cairo,5,20.0,100,65.09,34.91
ORD-1049,2026-03-14 14:31:15.630252100,USB Hub,Alexandria,4,100.0,400,276.57,123.43
ORD-1050,2026-03-16 02:49:24.705882353,USB Hub,Cairo,4,15.0,60,34.65,25.35
ORD-1051,2026-03-17 15:07:33.781512605,USB Hub,Cairo,6,20.0,120,93.0,27.0
ORD-1052,2026-03-19 03:25:42.857142857,Wireless Mouse,Cairo,2,25.0,50,28.2,21.8
ORD-1053,2026-03-20 15:43:51.932773109,Keyboard,Mansoura,7,25.0,175,139.95,35.05
ORD-1054,2026-03-22 04:02:01.008403361,Keyboard,Mansoura,3,20.0,60,34.61,25.39
ORD-1055,2026-03-23 16:20:10.084033613,Keyboard,Mansoura,4,15.0,60,46.67,13.33
ORD-1056,2026-03-25 04:38:19.159663865,Laptop Stand,Giza,4,50.0,200,158.74,41.26
ORD-1057,2026-03-26 16:56:28.235294117,Headset,Mansoura,6,100.0,600,488.69,111.31
ORD-1058,2026-03-28 05:14:37.310924369,Laptop Stand,Cairo,4,20.0,80,61.32,18.68
ORD-1059,2026-03-29 17:32:46.386554621,USB Hub,Tanta,2,25.0,50,38.02,11.98
ORD-1060,2026-03-31 05:50:55.462184874,USB Hub,Giza,1,40.0,40,28.94,11.06
ORD-1061,2026-04-01 18:09:04.537815126,Webcam,Tanta,3,100.0,300,228.1,71.9
ORD-1062,2026-04-03 06:27:13.613445378,USB Hub,Cairo,6,50.0,300,175.9,124.1
ORD-1063,2026-04-04 18:45:22.689075630,Keyboard,Giza,1,60.0,60,41.68,18.32
